Sales_Rank,Lead_ID,Lead_Score,Lead_Category,Predicted_Probability,Predicted_Converted,Actual_Converted,Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
493,892,93,Hot,0.9297509,1,1,Landing Page Submission,Google,No,No,6.0,1966,6.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Cities of Maharashtra,02.Medium,01.High,13.0,17.0,No,No,Email Opened
494,1294,93,Hot,0.93013906,1,1,API,Olark Chat,Yes,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,01.High,02.Medium,16.0,15.0,No,No,SMS Sent
495,1956,93,Hot,0.9324503,1,1,API,Olark Chat,No,No,0.0,0,0.0,Email Opened,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,,No,No,,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
496,9152,93,Hot,0.926146,1,1,Landing Page Submission,Google,No,No,4.0,1115,4.0,Email Opened,India,Business Administration,,,No,No,No,No,No,No,No,No,,,No,No,Other Cities of Maharashtra,02.Medium,01.High,15.0,17.0,No,No,Email Opened
497,3981,93,Hot,0.9330664,1,1,Landing Page Submission,Direct Traffic,No,No,9.0,40,3.0,Form Submitted on Website,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Worst,No,No,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,Modified
498,6012,93,Hot,0.92883366,1,0,Lead Add Form,Reference,No,No,,31,,,,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,,,,,No,No,Modified
499,4608,93,Hot,0.92645323,1,1,Landing Page Submission,Google,No,No,8.0,252,2.67,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,,No,No,Mumbai,,,,,No,Yes,Email Opened
500,4341,93,Hot,0.92770386,1,1,Landing Page Submission,Direct Traffic,No,No,3.0,399,3.0,Email Opened,India,Rural and Agribusiness,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Cities of Maharashtra,,,,,No,Yes,Email Opened
501,8150,93,Hot,0.9342389,1,1,API,Google,No,No,2.0,1096,2.0,SMS Sent,India,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Modified
502,8819,93,Hot,0.9256757,1,1,Landing Page Submission,Google,No,No,5.0,1464,5.0,Email Opened,India,IT Projects Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,02.Medium,02.Medium,13.0,15.0,No,No,Email Opened
503,8110,93,Hot,0.9325645,1,1,Lead Add Form,Reference,Yes,No,0.0,0,0.0,Email Marked Spam,,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,02.Medium,01.High,14.0,19.0,No,No,Email Marked Spam
504,1655,93,Hot,0.92591053,1,1,Landing Page Submission,Google,No,No,3.0,1622,3.0,Email Opened,India,IT Projects Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,02.Medium,15.0,15.0,No,No,Email Opened
505,4580,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
506,3328,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
507,1022,92,Hot,0.91662526,1,1,API,Google,No,No,3.0,970,3.0,SMS Sent,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,02.Medium,02.Medium,15.0,16.0,No,No,Modified
508,5016,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
509,5953,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
510,3183,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,,,,No,No,SMS Sent
511,5526,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
512,1931,92,Hot,0.92388153,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,02.Medium,02.Medium,15.0,16.0,No,No,Modified
513,9039,92,Hot,0.9206056,1,1,API,Google,No,No,2.0,1171,1.0,Email Opened,India,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Email Opened
514,5373,92,Hot,0.9207958,1,1,Landing Page Submission,Google,No,No,5.0,451,5.0,Email Opened,India,Marketing Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,,,,,No,No,Email Opened
515,6757,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
516,7650,92,Hot,0.9167115,1,1,Landing Page Submission,Direct Traffic,No,No,4.0,69,4.0,SMS Sent,India,Human Resource Management,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,SMS Sent
517,1589,92,Hot,0.92182577,1,1,Landing Page Submission,Direct Traffic,No,No,2.0,850,2.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Cities,02.Medium,02.Medium,15.0,16.0,No,No,Email Opened
518,9091,92,Hot,0.9210431,1,1,Landing Page Submission,Google,No,No,9.0,924,3.0,Page Visited on Website,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Thane & Outskirts,02.Medium,01.High,15.0,19.0,No,No,Page Visited on Website
519,8734,92,Hot,0.9216205,1,1,Landing Page Submission,Google,No,No,2.0,100,2.0,Email Opened,India,Media and Advertising,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,02.Medium,01.High,14.0,19.0,No,No,Email Opened
520,1257,92,Hot,0.9179729,1,1,Landing Page Submission,Organic Search,No,No,6.0,298,6.0,SMS Sent,India,Supply Chain Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,SMS Sent
521,5220,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
522,4029,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
523,4141,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
524,5961,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
525,7851,92,Hot,0.9205566,1,1,Landing Page Submission,Google,No,No,5.0,1255,2.5,Email Received,India,Marketing Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,02.Medium,01.High,14.0,18.0,No,No,Modified
526,6063,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
527,5322,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
528,2756,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,,,,No,No,SMS Sent
529,1546,92,Hot,0.92437124,1,1,Landing Page Submission,Google,No,No,4.0,1381,4.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,Email Opened
530,3262,92,Hot,0.9239441,1,0,Lead Add Form,Olark Chat,No,No,0.0,0,0.0,Email Opened,,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Email Opened
531,4619,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
532,4919,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
533,3324,92,Hot,0.9243033,1,0,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
534,4898,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
535,2944,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
536,6840,92,Hot,0.9243033,1,1,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
537,9162,91,Hot,0.9107463,1,1,API,Olark Chat,No,No,7.0,1516,3.5,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Cities,02.Medium,02.Medium,15.0,16.0,No,No,Email Opened
538,6204,91,Hot,0.9054554,1,1,API,Olark Chat,No,No,4.0,56,1.33,Email Opened,,Retail Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,,No,No,Mumbai,,,,,No,No,Email Opened
539,8008,91,Hot,0.91325,1,1,Landing Page Submission,Direct Traffic,No,No,2.0,900,2.0,Converted to Lead,India,Healthcare Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,02.Medium,02.Medium,15.0,14.0,No,No,Modified
540,2916,91,Hot,0.91463333,1,0,Landing Page Submission,Organic Search,No,No,4.0,639,4.0,SMS Sent,India,International Business,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Mumbai,,,,,No,No,SMS Sent
541,5655,91,Hot,0.90876335,1,1,Landing Page Submission,Direct Traffic,No,No,1.0,496,1.0,Converted to Lead,India,IT Projects Management,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Worst,No,No,Mumbai,,,,,No,Yes,Modified
542,5330,91,Hot,0.9103055,1,1,Landing Page Submission,Organic Search,No,No,6.0,1578,3.0,Email Opened,India,Healthcare Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Cities,02.Medium,02.Medium,15.0,13.0,No,Yes,Email Opened
543,4163,91,Hot,0.9076323,1,1,API,Olark Chat,Yes,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,,,,No,No,SMS Sent
544,1652,91,Hot,0.9086334,1,1,API,Google,No,No,3.0,1213,1.5,Email Opened,India,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Email Opened
545,8763,91,Hot,0.9061211,1,1,Landing Page Submission,NC_EDM,No,No,7.0,931,1.75,Email Opened,India,Human Resource Management,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,01.High,02.Medium,16.0,16.0,No,No,Email Opened
546,4886,91,Hot,0.9076323,1,0,API,Olark Chat,Yes,No,0.0,0,0.0,SMS Sent,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
547,1867,91,Hot,0.9124159,1,1,Lead Add Form,Click2call,No,No,15.0,1108,3.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Thane & Outskirts,02.Medium,01.High,15.0,17.0,No,No,Email Opened
548,8451,91,Hot,0.9113669,1,1,Landing Page Submission,Google,No,No,8.0,1607,2.67,SMS Sent,India,Human Resource Management,,,No,No,No,No,No,No,No,No,,,No,No,Thane & Outskirts,02.Medium,01.High,15.0,17.0,No,Yes,Modified
549,3598,91,Hot,0.90668136,1,1,API,Olark Chat,No,No,0.0,0,0.0,Email Opened,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,,No,No,,,,,,No,No,Modified
550,8034,91,Hot,0.91257,1,1,Landing Page Submission,Organic Search,No,No,13.0,954,4.33,Olark Chat Conversation,India,Media and Advertising,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Mumbai,01.High,01.High,16.0,17.0,No,Yes,Modified
551,8100,91,Hot,0.9054899,1,1,API,Google,No,No,13.0,1725,3.25,Email Opened,India,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Email Opened
552,5944,90,Hot,0.9017036,1,1,API,Google,No,No,11.0,523,2.2,SMS Sent,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Mumbai,,,,,No,Yes,SMS Sent
553,1591,90,Hot,0.89993703,1,1,API,Google,No,No,2.0,1069,2.0,Email Opened,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Email Opened
554,4731,90,Hot,0.9025185,1,1,Landing Page Submission,Direct Traffic,No,No,3.0,89,3.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Metro Cities,,,,,No,Yes,Email Opened
555,6810,90,Hot,0.8955634,1,1,Lead Add Form,Reference,Yes,No,,1216,,Email Bounced,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,,,,,,No,No,Modified
556,8406,90,Hot,0.90239227,1,1,Landing Page Submission,Organic Search,No,No,16.0,1297,1.78,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Thane & Outskirts,01.High,01.High,16.0,17.0,No,No,Email Opened
557,2160,90,Hot,0.89625746,1,1,API,Olark Chat,Yes,No,0.0,0,0.0,Email Bounced,,,,,No,No,No,No,No,No,No,No,Lost to EINS,,No,No,,02.Medium,02.Medium,14.0,15.0,No,No,Modified
558,6449,90,Hot,0.9015528,1,1,Landing Page Submission,Google,No,No,8.0,422,1.6,SMS Sent,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Cities,,,,,No,No,SMS Sent
559,2087,90,Hot,0.90463054,1,1,API,Google,No,No,2.0,915,2.0,Email Opened,India,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Email Opened
560,2113,90,Hot,0.89718527,1,0,Landing Page Submission,Organic Search,No,No,6.0,1243,6.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,01.High,01.High,16.0,18.0,No,Yes,Email Opened
561,4977,90,Hot,0.8979331,1,1,Landing Page Submission,Google,Yes,No,6.0,1047,6.0,SMS Sent,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Thane & Outskirts,,,,,No,No,SMS Sent
562,8889,89,Hot,0.8947254,1,1,Landing Page Submission,Direct Traffic,No,No,2.0,834,2.0,SMS Sent,India,Supply Chain Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Cities of Maharashtra,02.Medium,01.High,14.0,19.0,No,Yes,Modified
563,2405,89,Hot,0.8927282,1,1,Landing Page Submission,Google,No,No,7.0,520,3.5,SMS Sent,India,Media and Advertising,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Cities of Maharashtra,02.Medium,02.Medium,14.0,16.0,No,No,SMS Sent
564,715,89,Hot,0.89033383,1,1,Landing Page Submission,Organic Search,No,No,5.0,1016,2.5,Email Opened,India,E-Business,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Metro Cities,02.Medium,02.Medium,15.0,16.0,No,Yes,Email Opened
565,363,89,Hot,0.89290226,1,0,Landing Page Submission,Organic Search,No,No,5.0,811,5.0,Email Opened,India,Operations Management,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,Email Opened
566,160,89,Hot,0.8904839,1,1,Landing Page Submission,Direct Traffic,No,No,3.0,1010,3.0,Email Opened,India,Supply Chain Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Metro Cities,02.Medium,02.Medium,15.0,16.0,No,Yes,Email Opened
567,982,88,Hot,0.8816841,1,1,Landing Page Submission,Google,No,No,3.0,1995,3.0,Form Submitted on Website,India,IT Projects Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Cities of Maharashtra,02.Medium,02.Medium,14.0,14.0,No,No,Modified
568,2857,88,Hot,0.8836556,1,1,API,Google,No,No,4.0,343,4.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,,,,,No,No,Email Opened
569,8620,88,Hot,0.87981063,1,1,API,Olark Chat,No,No,2.0,1122,1.0,Form Submitted on Website,India,Operations Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,02.Medium,01.High,13.0,18.0,No,Yes,Modified
570,9069,88,Hot,0.8753264,1,0,API,Google,No,No,6.0,1458,2.0,Email Opened,India,,,,No,No,No,No,No,No,No,No,,,No,No,,01.High,02.Medium,16.0,15.0,No,No,Email Opened
571,3594,87,Hot,0.8742569,1,0,API,Google,No,No,3.0,1570,1.5,Email Opened,India,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Email Opened
572,722,87,Hot,0.8737415,1,1,Landing Page Submission,Organic Search,No,No,3.0,1746,3.0,Page Visited on Website,India,Rural and Agribusiness,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Cities,01.High,02.Medium,16.0,13.0,No,Yes,Modified
573,1405,87,Hot,0.8653196,1,1,Landing Page Submission,Google,No,No,3.0,423,3.0,SMS Sent,India,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,01.High,14.0,18.0,No,No,SMS Sent
574,223,87,Hot,0.8733459,1,1,Landing Page Submission,Direct Traffic,No,No,9.0,1164,4.5,Email Opened,India,Healthcare Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,01.High,02.Medium,16.0,15.0,No,Yes,Email Opened
575,568,87,Hot,0.874395,1,1,Landing Page Submission,Direct Traffic,No,No,3.0,1350,1.5,Email Opened,India,Finance Management,,,No,No,No,No,No,No,No,No,Lost to EINS,,No,No,Mumbai,03.Low,01.High,12.0,18.0,No,Yes,Email Opened
576,18,87,Hot,0.8650992,1,1,Landing Page Submission,Google,No,No,6.0,1688,3.0,Page Visited on Website,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Page Visited on Website
577,1812,87,Hot,0.86887,1,1,Landing Page Submission,Google,No,No,10.0,1026,10.0,SMS Sent,India,Supply Chain Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,02.Medium,01.High,13.0,18.0,No,Yes,SMS Sent
578,7685,87,Hot,0.8719275,1,1,Landing Page Submission,Direct Traffic,No,No,14.0,1248,14.0,Email Opened,India,Marketing Management,,,No,No,No,No,No,No,No,No,,,No,No,Other Metro Cities,01.High,02.Medium,16.0,16.0,No,No,Email Opened
579,553,87,Hot,0.87446636,1,1,API,Organic Search,No,No,9.0,1125,9.0,Email Opened,India,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Email Opened
580,6560,86,Hot,0.8602595,1,1,Landing Page Submission,Google,No,No,5.0,443,5.0,SMS Sent,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Metro Cities,,,,,No,No,SMS Sent
581,1882,86,Hot,0.8581581,1,1,API,Direct Traffic,No,No,6.0,1040,6.0,SMS Sent,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,02.Medium,02.Medium,15.0,16.0,No,No,Modified
582,888,86,Hot,0.8566014,1,0,Landing Page Submission,Google,No,No,4.0,1051,4.0,Email Link Clicked,India,International Business,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Mumbai,02.Medium,01.High,14.0,18.0,No,No,Email Link Clicked
583,2124,86,Hot,0.8649992,1,1,Landing Page Submission,Google,No,No,5.0,1388,1.67,SMS Sent,India,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,Modified
584,9130,86,Hot,0.8559439,1,1,Landing Page Submission,Google,No,No,4.0,852,4.0,Email Opened,Australia,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Thane & Outskirts,02.Medium,01.High,14.0,19.0,No,No,Email Opened
585,4482,86,Hot,0.85895044,1,1,API,Google,No,No,3.0,8,1.5,SMS Sent,India,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
586,2787,86,Hot,0.85509634,1,1,Landing Page Submission,Direct Traffic,Yes,No,4.0,1055,4.0,SMS Sent,India,International Business,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Mumbai,,,,,No,Yes,SMS Sent
587,745,85,Hot,0.8527986,1,0,Landing Page Submission,Direct Traffic,No,No,2.0,1613,2.0,SMS Sent,India,Supply Chain Management,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,01.High,13.0,18.0,No,Yes,SMS Sent
588,377,85,Hot,0.8497142,1,1,API,Organic Search,No,No,3.0,1636,1.5,Page Visited on Website,India,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Page Visited on Website
589,6413,85,Hot,0.8455654,1,0,Landing Page Submission,Organic Search,No,No,5.0,83,5.0,SMS Sent,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Not Sure,No,No,Other Cities of Maharashtra,,,,,No,Yes,SMS Sent
590,4918,85,Hot,0.8497179,1,0,API,Google,No,No,3.0,53,1.5,SMS Sent,India,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,SMS Sent
591,7048,85,Hot,0.84586996,1,1,Landing Page Submission,Organic Search,No,No,9.0,1233,4.5,Email Opened,,IT Projects Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Other Cities,02.Medium,02.Medium,15.0,13.0,No,Yes,Email Opened
592,3918,85,Hot,0.85438854,1,1,Landing Page Submission,Google,No,No,4.0,1136,4.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Mumbai,,,,,No,No,Email Opened
593,8349,85,Hot,0.84541047,1,0,Landing Page Submission,Direct Traffic,No,No,4.0,1224,1.33,Page Visited on Website,India,Finance Management,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,01.High,01.High,16.0,18.0,No,Yes,Page Visited on Website
594,1574,85,Hot,0.8486007,1,1,Lead Add Form,Reference,No,No,,759,,,,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,02.Medium,01.High,14.0,19.0,No,No,Modified
595,8805,85,Hot,0.84933376,1,1,Landing Page Submission,Google,No,No,3.0,1516,3.0,Email Opened,United States,International Business,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Modified
596,8541,85,Hot,0.85097474,1,1,API,Olark Chat,No,No,11.0,1882,2.75,Email Opened,India,,Unemployed,Better Career Prospects,Yes,No,No,No,No,No,Yes,No,Will revert after reading the email,Might be,No,No,,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
597,7037,85,Hot,0.8468153,1,1,Landing Page Submission,Google,No,No,3.0,519,3.0,SMS Sent,India,Human Resource Management,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,,,,,No,No,SMS Sent
598,1897,85,Hot,0.8501379,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,02.Medium,01.High,13.0,17.0,No,No,SMS Sent
599,4852,84,Hot,0.83602136,1,1,API,Organic Search,No,No,2.0,253,2.0,SMS Sent,India,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,,,,No,No,SMS Sent
